Water Type,HYBAS_ID,Year,Average Extent,% Extent Change
Ephemeral,2060048790,1984-1988,2.6813616345816755,13.610068447780762
Ephemeral,2060048790,1985-1989,2.7927767077486907,18.330757341576273
Ephemeral,2060048790,1986-1990,2.8824090397633158,22.128505188783183
Ephemeral,2060048790,1998-2002,2.9616190075901923,25.48465444910551
Ephemeral,2060048790,1999-2003,2.906380477395133,23.144181938617553
Ephemeral,2060048790,2009-2013,2.745354950694442,16.321483771251717
Ephemeral,2060048790,2010-2014,2.595585577316517,9.975712077721132
Ephemeral,2060048790,2011-2015,2.4486302422692847,3.7491720026494098
Ephemeral,2060048790,2012-2016,2.3029255909245814,-2.4243762419961965
Ephemeral,2060048790,2013-2017,2.325542121211992,-1.4661073084568033
Ephemeral,2060048790,2014-2018,2.1371057766975263,-9.450209759328928
Ephemeral,2060048790,2015-2019,2.1763980896853328,-7.785383086774275
Ephemeral,2060048790,2016-2020,2.033611700313198,-13.835283727092234
Ephemeral,2060048790,2017-2021,2.0215217578554117,-14.347538087878279
Seasonal,2060048790,1984-1988,2.178274115239127,-4.631530914898625
Seasonal,2060048790,1985-1989,2.4002704724381383,5.0878393794203
Seasonal,2060048790,1986-1990,2.4056901018157673,5.325119780971772
Seasonal,2060048790,1998-2002,2.067380160281499,-9.486652977412865
Seasonal,2060048790,1999-2003,2.130227016333613,-6.735112936345128
Seasonal,2060048790,2009-2013,1.8621638094247597,-18.471366643851393
Seasonal,2060048790,2010-2014,2.3164746643686525,1.4191193246632998
Seasonal,2060048790,2011-2015,2.6811531872979204,17.385352498288633
Seasonal,2060048790,2012-2016,2.9717287008523074,30.10723248916245
Seasonal,2060048790,2013-2017,3.1673564766563187,38.67214236824068
Seasonal,2060048790,2014-2018,3.492325792030271,52.89984029203715
Seasonal,2060048790,2015-2019,3.602802852420389,57.7367100159705
Seasonal,2060048790,2016-2020,4.295681623621811,88.07209673739415
Seasonal,2060048790,2017-2021,4.732587130372165,107.20054757015703
Permanent,2060048790,1984-1988,3.532973012362484,-16.661339889367074
Permanent,2060048790,1985-1989,3.5378715235307254,-16.545789797172848
Permanent,2060048790,1986-1990,3.4574108720013186,-18.443761524277942
Permanent,2060048790,1998-2002,3.7390231523542425,-11.800860479410108
Permanent,2060048790,1999-2003,3.7856111202734715,-10.701905347265063
Permanent,2060048790,2009-2013,3.9755065957742217,-6.22249539028905
Permanent,2060048790,2010-2014,4.125171745510269,-2.6920712968655653
Permanent,2060048790,2011-2015,4.448681929897937,4.939151813152864
Permanent,2060048790,2012-2016,4.603141367160348,8.582667486170694
Permanent,2060048790,2013-2017,4.688604753499873,10.59864781806987
Permanent,2060048790,2014-2018,4.72956464475772,11.564843269821589
Permanent,2060048790,2015-2019,4.740820798080486,11.830362630608303
Permanent,2060048790,2016-2020,4.573646076509024,7.886908420405479
Permanent,2060048790,2017-2021,4.647332191316395,9.62507682851856
Ephemeral,2060048790,baseline,2.3601443703153167,
Seasonal,2060048790,baseline,2.284061111744763,
Permanent,2060048790,baseline,4.239296633366107,
Ephemeral,2060048980,1984-1988,1.3802336893833378,41.78800856531026
Ephemeral,2060048980,1985-1989,1.3737718235869345,41.12419700214108
Ephemeral,2060048980,1986-1990,1.3329161559709664,36.92719486081348
Ephemeral,2060048980,1998-2002,1.1734539838984368,20.546038543897
Ephemeral,2060048980,1999-2003,1.1150887444470534,14.550321199143257
Ephemeral,2060048980,2009-2013,0.9122695373534967,-6.28479657387595
Ephemeral,2060048980,2010-2014,0.8339975823035164,-14.325481798715355
Ephemeral,2060048980,2011-2015,0.7521820234297023,-22.73019271948622
Ephemeral,2060048980,2012-2016,0.6598398767262638,-32.21627408993587
Ephemeral,2060048980,2013-2017,0.6281558895955129,-35.471092077087896
Ephemeral,2060048980,2014-2018,0.5912607203708884,-39.261241970021516
